tournament,count
Revenge of the 6ix: The Moon Strikes Back January 19-20,129
Revival of Jab Air 3,14
Revival of Kin 114,14
Revival of Kin 115,58
Rice Addiction #4,39
Rise and Shine!,69
River Rumble Presented by OCU Esports,254
Rock Chalk Jab Lock 45,14
Roll & Parry #3,33
Roll & Parry #4,14
S4R Championship 2019 #1,15
S@PS Anniversary! Fourth Time's the Charm,57
S@PS Weekly 69,27
SATURN Ultimate Smash #2 - SprinGames 2019,198
SEL 4 : Crêpes strikes back // Smash Epitech Lyon,354
SIEGE 2019,324
SKL Smashfest 4 - Ultimate: Presented by IKS Media and the Saskatoon Blades,363
SLP Sunday Weekly XLIII,5
SLP Sunday Weekly XLIV,57
SMASH CONFERENCE UNITED,693
SMASH NIGHTS ( Weekly #5),19
SMASH at The Paramount,408
SMASHLAN'D #47,255
SMASHLAN'D #48,109
SMASHTROLLS Weekly Series #2,2
SNS5 Pre-Event Tournament & Bowling!,182
SOLARY CIRCUIT : Etape 4 - L'Indigo Flame de Strasbourg,259
SOS Ultimate,266
SPECTRUM 2,95
SUMABATO x CYCLOPS #80,20
SUMABATO x CYCLOPS #81,19
SYNTHESIS 16,254
SYNTHESIS 17,190
SYNTHESIS 18,219
SYNTHESIS 19,231
SYNTHESIS 5,109
SYNTHESIS 6,99
SYNTHESIS 7,71
Safe On Shield #1,194
Saints Gaming Live 2019,207
Salty Arena Bi-Weekly #3,15
Salty Arena Cup Ultimate #1,250
Salty Arena Cup Ultimate #3,244
San Antonio's Really Feeling It,307
San Japan 2019 Smash Bros,352
Scenic Smash,244
Scenic Smash 2,189
Schism 3,654
Seal the Deal - Ultimate,52
Second City Smash 2,339
SectorX Smash at Disguiser #2 (OcS Esports SSBU Event),19
Sekai Doggo's Summer Festival v3,10
Seoul Smash #5,143
Share Stock,3
Shieldbreak January Edition,452
Shine 2019,1628
Shine Today #1 Season 3,13
Show Me Your Moves 20,453
Silver City Smash #1,7
Sink or Swim 116,250
Sink or Swim 117,146
Skyworld 7,376
SloBroke #100,212
Slobroke #72,18
Slobroke #73,17
Smash @ Bunjil Place,152
Smash @ Fantasy Basel (hosted by SILENTGAMING),230
Smash @ Gather 7,1
Smash @ Humber: January Monthly,195
Smash @ Humber: Weekly #1,69
Smash @ UofA #11 - Mar 15,196
Smash @ UofA #30 - Sep 6,156
Smash @ UofA #6 - Feb 1,188
Smash @ UofA #7 - Feb 8,198
Smash And Ladders,499
Smash Atlantic,15
Smash Attack 35!,14
Smash Bros Ultimate @ WSU weekly #1,47
Smash Class XII,5
Smash Dawgs Tryouts,65
Smash Down #1,83
Smash Erie Monthly #3,239
Smash Factor 8,1360
Smash Fight Club 162,93
Smash Fight Club 163,79
Smash Fight Club 164,55
Smash Gaiden #42: Fight Club Edition,165
Smash Horizon II - Powered By New Horizon Mall and Horizon Computers,215
Smash King Honduras 1,212
Smash Labs Weekly (2019-01-09),107
Smash Labs Weekly (2019-01-16),49
Smash Mashing 3,42
Smash N' Grab,138
Smash Norte,191
Smash On The Rocks 2,30
Smash Quest Chapter 1: Legend of Hyrule,376
Smash Ultimate @ U of A #5,244
Smash Ultimate CEO Weekly,147
Smash Ultimate Guild #1,1
Smash Ultimate Jan 14,18
Smash Ultimate Jan 7th,34
Smash Ultimate PiviP Open Qualifier 1/2,286
Smash Ultimate Regional Qualifier for DreamHack,189
Smash Ultimate Tournament #2 @ The Connection,195
Smash Ultimate Tournament #3 @ The Connection,220
Smash Ultimate at Clarke's #4,5
Smash Zone XX,81
Smash at Johnny B's #47 2019 Ultimate edition,23
Smash at Johnny B's #48,31
Smash at Liège Tournament #6,62
Smash at Metro Entertainment 29,18
Smash in the Den #10,2
Smash x Ramboot Ultimate #2,68
Smash à Lez biweekly #1,67
Smash'N'Splash 5,4186
SmashDEN - January 2019,29
SmashErie 6: Summertime Smash,182
SmashErie Smash Ultimate #4,254
SmashLAN'D 79,200
SmashLoft Ultimate Weekly #6,41
SmashWorks Ultimate,314
Smashadelphia 2019 @ TooManyGames!,365
Smashdew Valley 11: Penultimate Edition,15
Smashdown - Nacional Smash Ultimate Colombia,214
Smashers Anonymous: Ultimate Edition,100
Smashfield 171  Presented by High Score eSports @ Buffalo Wild Wings,256
Smashfield 172 Presented by High Score eSports @ Buffalo Wild Wings,206
Smashfield 173 Presented by High Score eSports @ Buffalo Wild Wings,214
Smashfield 175 Presented by High Score eSports @ Buffalo Wild Wings,203
Smashfield 179 Presented by High Score eSports @ Emagine Theatres,199
Smashfield 189 Presented by High Score eSport @ Emagine Theatres,197
Smashing Celaya 8 Temp. 1 - 2019,15
Smashkatoon 37,93
Smashmania XII,20
Smashwick #3,405
Smile & Wave(s) - A SILENTGAMING Smash Tournament,239
SoCal Chronicles,915
SoCal Ultimate League Season 1 Finale,145
Somerset Weekly Premiere,22
Space 2 Smash #20,8
"Spare, Strike, Smash!",44
Spartan Weeklies #41,97
Spartan Weeklies #42,191
Spartan Weeklies #43,188
Spartan Weeklies #45,206
Spartan Weeklies #46,176
Spartan Weeklies #52,323
Spartan Weeklies #54,140
Spartan Weeklies #56,141
Special Edition: Saturday Scuffles 2,17
Spectrum #100,232
Spectrum Smash #78,119
Standoff 2019,449
Star Forge: Overground,250
Star Forge: Underground,216
Star Forge: Underground #10,202
Star Forge: Underground #13,418
Star Forge: Underground #14,140
Start!,197
Steel City Showdown $1500 Prize Pool!,324
Stiff Knees 5,488
Stop al Freeplay #6,55
Storm The Ultimate Bracket 2,80
Strat Smash #3,39
Strat Smash 16-01-2019,34
