tournament,count
TGC Returns - $1750 Pot Bonus,598
TMT | Royalty 2,67
TNS Smash Ultimate February 9th,207
TNS Smash Ultimate January 12th,255
TNS Smash Ultimate January 19th,233
TOG Smash Ultimate,34
TR Circuit 2019 - Opening,424
TalentLand,31
Tech Republic IV,598
Tecnohouse Smash,15
Tempest 3,353
Terça Tryhard #1,32
Terça Tryhard #2,56
The 2019 South Carolina Arcadian,545
The Big Cheese 23,3
The Big Cheese 24,14
The Big House 9,1909
The Fantastic Classic: Ultimate Edition,232
The Forge,289
The Forge: Season 2 - Episode 1,204
The Forge: Season 3 - Episode 1,254
The Grind Fridays 59,292
The Grind Fridays 60,314
The Grind Fridays 61,243
The Grind Fridays 63,322
The Grind Fridays 64,214
The Grind Fridays 66,260
The Grind Fridays 67,218
The Grind Fridays 68,313
The Grind Fridays 69,238
The Grind Fridays 70,231
The Grind Fridays 71,243
The Grind Fridays 78,204
The Grind Fridays 79,212
The Grind Fridays 83,224
The Grind Fridays 89,239
The Grind Fridays 91,153
The Grind Fridays 92,328
The LAST WANTED S2 Chapitre 13 : L'invasion Bordelaise !,285
The Monthly,21
The Pinnacle 2019,377
The Prowling Grounds 42,220
The Ravens Best Georgia Smash Ultimate Bi-Weekly Series #3,32
The Return of the Undiscovered Monthly. $1k in cash prizes guaranteed,206
The Ultimate Adventure: Episode 0 Pilot,104
The Ultimate Adventure: Episode 1 Beginning,60
The Ultimate Pembina Valley Smash Monthly #17,38
The Ultimate Performance,293
The Warm-Up #3,15
The beginning,35
TheReset #6,248
Throwdown LX #51,78
Thursday Night Fights S3W8,119
Thursday Night Fights Season 1 Finale: PAX East Edition,272
Tilt #5 Tournament Series,480
Top Tier Tuesday #15,14
Top Tier Tuesday #17 ft. SV KJS | Maister,19
Torneo Nit FanCon 2ª edición,18
Torneo Rankeado Semanal #2,4
Tournament Arc Spring 2019,246
Tournament Arc Winter 2019: The Saga Continues!,265
Trinity 2019 | A Vancouver Island Smash Tournament,253
Tripoint Smash 42,222
Tripoint Smash 43,258
Triton Gaming Expo 2019,262
True Combo Thursdays #74,37
True Combo Thursdays #75,42
UBC CUP 2019: Super Smash Bros feat. CSL BC Local Qualifier,205
UBCEA Presents: Heroes VS Villains 2019,258
UCSB: SRB 3,24
UCSB: SRB 4,15
UGA Esports Overwatch/Smash Event,205
ULL Torneo Municipal,185
UNITE: A Michigan Smash Event,255
UPE Smash,340
UTK Smash Bash 1,86
Ueno Smash Ultimate Weekly-上野スマブラＳＰ平日大会（仮）,20
UltiMania,272
UltiMon Stadion,73
Ultim'up 2K19 - #1/6,20
Ultima Qualifica e Finale Xmas VGP Home,1
Ultimate @ Xanadu 284,362
Ultimate @ Xanadu 285,309
Ultimate @ Xanadu 286,238
Ultimate @ Xanadu 288,255
Ultimate @ Xanadu 291,216
Ultimate @ Xanadu 293,212
Ultimate @ Xanadu 295,214
Ultimate @ Xanadu 298,245
Ultimate @ Xanadu 300,244
Ultimate @ Xanadu 307,201
Ultimate @ Xanadu 308,208
Ultimate @ Xanadu 309,241
Ultimate @ Xanadu 310,207
Ultimate @ Xanadu 316,233
Ultimate Arena,18
Ultimate Austin's Really Feeling It #2 -- Smash Ultimate,280
Ultimate Cataclysm,66
Ultimate Cyber Smash Saturday 4,43
Ultimate Cyber Smash Saturday 5,16
Ultimate Cyber Smash Saturday 6,12
Ultimate EBS x Zen Gaming #4,37
Ultimate EBS x Zen Gaming #5,68
Ultimate EBS x Zen gaming #3,42
Ultimate Fighting Arena 2019,953
"Ultimate Gamer Miami $75,000",422
Ultimate Immortal Fight Night #3,66
Ultimate Immortal Fight Night #4,30
Ultimate Newjabes - Janvier,128
Ultimate Proving Ground,226
Ultimate Rumble - Toronto Monthly Smash Ultimate Tournament,102
Ultimate SEL #3 // Smash Epitech Lyon,241
Ultimate Shockwave 10,230
Ultimate Shockwave 11,270
Ultimate Shockwave 12,258
Ultimate Shockwave 13,250
Ultimate Shockwave 14,456
Ultimate Shockwave 15,285
Ultimate Shockwave 16,246
Ultimate Shockwave 17,225
Ultimate Shockwave 18,204
Ultimate Shockwave 20,243
Ultimate Shockwave 23,218
